Employee_ID,Department,Job_Role,Experience_Level,Region,AI_Tool_Used,Daily_AI_Usage_Minutes,Use_Case,Prompt_Complexity,Tasks_Completed_Per_Day,Avg_Task_Time_Before_AI,Avg_Task_Time_After_AI,Productivity_Improvement_%,Revenue_Impact_USD,Cost_Savings_USD,Error_Rate_Reduction_%,Decision_Speed_Improvement_%,Adoption_Level,Satisfaction_Score,Training_Hours,AI_Trust_Level,Date,Month,Quarter
EMP0001,Marketing,Marketing Manager,Senior,Europe,ChatGPT,52.2,Customer Support,Low,6.0,43.3,32.2,25.64,6091.92,679.2,12.89,11.44,Low,7.1,5.9,Low,2024-05-20,May,Q2
EMP0002,Sales,Account Executive,Junior,US,ChatGPT,58.8,Customer Support,High,3.4,70.7,51.6,27.02,6177.54,1489.57,18.62,36.94,Low,7.8,15.9,Medium,2024-02-22,February,Q1
EMP0003,Finance,CFO Analyst,Mid,India,ChatGPT,55.9,Content Creation,Medium,6.0,88.3,61.0,30.92,5736.83,3236.53,18.06,19.24,Medium,8.1,15.5,High,2024-08-04,August,Q3
EMP0004,IT,Software Engineer,Mid,US,Copilot,69.7,Coding,High,5.0,82.0,56.7,30.85,4014.42,2018.09,24.39,29.93,Low,8.7,15.0,Medium,2024-04-21,April,Q2
EMP0005,Marketing,Content Strategist,Junior,US,ChatGPT,114.7,Customer Support,Medium,8.3,27.5,16.6,39.64,10412.77,4102.9,30.77,37.83,High,9.4,21.2,High,2024-04-11,April,Q2
EMP0006,HR,Compensation Analyst,Junior,India,Claude,35.0,Content Creation,Medium,8.8,48.6,40.0,17.7,3073.94,2249.12,24.6,33.88,High,6.3,21.0,Low,2024-08-17,August,Q3
EMP0007,IT,Cybersecurity Analyst,Junior,APAC,Claude,123.7,Coding,High,6.7,71.9,45.2,37.13,7550.52,2824.06,29.34,26.13,Medium,9.5,16.8,High,2024-03-22,March,Q1
EMP0008,HR,L&D Specialist,Junior,APAC,Claude,64.4,Research,Medium,3.6,59.8,47.1,21.24,3074.82,3231.62,25.33,27.41,Medium,6.3,14.0,Low,2024-03-20,March,Q1
EMP0009,Finance,FP&A Manager,Mid,APAC,OpenAI API,73.8,Data Analysis,High,4.1,55.4,34.4,37.91,4870.65,3004.49,28.85,25.47,Medium,9.7,17.6,High,2024-02-17,February,Q1
EMP0010,IT,IT Manager,Junior,US,Copilot,110.7,Data Analysis,Medium,6.7,72.4,43.9,39.36,10923.05,2826.85,42.16,41.71,High,8.3,14.5,Medium,2024-06-25,June,Q2
EMP0011,Sales,Business Dev Manager,Junior,India,Copilot,45.6,Customer Support,Medium,11.4,47.4,32.6,31.22,13830.2,2357.11,31.71,35.04,High,8.2,21.4,Low,2024-08-23,August,Q3
EMP0012,IT,Cybersecurity Analyst,Junior,Europe,Copilot,85.5,Data Analysis,High,6.8,70.1,39.3,43.94,8431.25,3138.14,36.41,39.6,High,8.3,18.6,High,2024-02-10,February,Q1
EMP0013,Operations,Business Analyst,Mid,Europe,Claude,107.2,Content Creation,Medium,4.6,43.4,28.7,33.87,3749.11,2971.2,30.64,18.17,Low,8.2,11.5,Medium,2024-11-12,November,Q4
EMP0014,Operations,Supply Chain Analyst,Senior,US,OpenAI API,68.1,Data Analysis,Medium,4.1,73.5,54.7,25.58,3837.4,1485.62,24.2,23.24,Low,8.1,15.1,Medium,2024-12-26,December,Q4
EMP0015,IT,Software Engineer,Mid,US,Copilot,106.3,Research,High,7.4,60.3,31.4,47.93,11748.25,4238.54,39.99,42.95,High,10.0,12.0,High,2024-04-26,April,Q2
EMP0016,Marketing,SEO Analyst,Junior,UK,ChatGPT,92.8,Content Creation,Medium,6.9,50.0,33.1,33.8,6745.3,2924.75,30.28,26.73,Medium,7.5,16.7,High,2024-02-21,February,Q1
EMP0017,HR,L&D Specialist,Mid,UK,Claude,79.5,Research,High,7.0,72.6,49.9,31.27,3659.93,2432.88,25.07,26.82,Medium,7.6,5.3,Medium,2024-11-21,November,Q4
EMP0018,Finance,Accountant,Junior,UK,ChatGPT,83.0,Research,Low,8.4,64.5,39.2,39.22,9542.74,3755.79,37.71,32.76,High,7.6,25.4,Medium,2024-06-30,June,Q2
EMP0019,Sales,Account Executive,Junior,US,Gemini,48.2,Content Creation,Medium,7.9,73.5,51.5,29.93,13186.24,2205.63,18.12,28.7,Medium,7.8,16.1,High,2024-12-25,December,Q4
EMP0020,HR,HR Manager,Mid,India,Gemini,66.6,Data Analysis,High,6.2,57.6,35.0,39.24,3689.82,1688.65,25.82,25.56,Medium,9.2,12.3,High,2024-03-28,March,Q1
EMP0021,IT,Cybersecurity Analyst,Junior,Europe,OpenAI API,87.8,Coding,High,7.7,79.3,45.0,43.25,11079.84,4207.78,37.35,37.81,High,8.5,21.5,Medium,2024-08-24,August,Q3
EMP0022,Marketing,Brand Manager,Senior,US,Claude,100.2,Customer Support,High,7.0,40.1,23.1,42.39,9122.92,2418.66,35.39,34.26,Medium,8.5,11.8,High,2024-12-18,December,Q4
EMP0023,Sales,Business Dev Manager,Mid,US,ChatGPT,86.7,Research,High,8.6,51.6,30.7,40.5,12072.93,2573.24,38.75,32.37,High,7.1,19.1,High,2024-06-15,June,Q2
EMP0024,Sales,Sales Manager,Junior,India,ChatGPT,63.7,Customer Support,High,10.2,53.9,36.7,31.91,13934.38,3561.45,33.34,35.6,High,7.5,23.4,Medium,2024-06-10,June,Q2
EMP0025,HR,L&D Specialist,Mid,India,Claude,42.7,Content Creation,Low,4.4,70.3,53.8,23.47,2833.75,1299.39,18.9,16.04,Low,7.8,12.4,High,2024-04-18,April,Q2
EMP0026,HR,Compensation Analyst,Mid,APAC,Gemini,96.0,Research,Medium,6.5,74.4,43.6,41.4,2906.82,1700.3,25.5,20.79,Medium,8.7,15.9,High,2024-04-18,April,Q2
EMP0027,Sales,Sales Analyst,Junior,APAC,Copilot,37.1,Research,High,10.4,68.9,47.0,31.79,16015.77,2491.95,14.74,47.71,High,8.6,17.5,High,2024-08-22,August,Q3
EMP0028,Operations,Process Analyst,Senior,Europe,Claude,5.2,Data Analysis,Medium,3.4,68.1,56.5,17.03,2969.6,2898.28,6.7,17.61,Low,8.1,9.2,High,2024-05-06,May,Q2
EMP0029,Operations,Business Analyst,Mid,India,OpenAI API,77.1,Research,Medium,6.3,62.9,41.0,34.82,6515.54,3804.27,23.46,26.52,Low,8.4,18.2,High,2024-10-26,October,Q4
EMP0030,Finance,Risk Analyst,Junior,Europe,Claude,92.8,Research,Low,5.2,39.2,26.4,32.65,6503.75,2689.83,33.91,4.9,Low,8.8,17.5,Medium,2024-07-04,July,Q3
EMP0031,IT,Data Scientist,Senior,India,OpenAI API,76.2,Research,Low,9.1,59.9,40.2,32.89,9735.23,3045.09,31.76,18.09,High,9.0,2.2,Medium,2024-09-09,September,Q3
EMP0032,Operations,Operations Manager,Mid,UK,ChatGPT,50.0,Data Analysis,Low,3.9,55.2,44.6,19.2,5931.84,2428.21,16.58,17.65,Low,5.9,11.2,Medium,2024-03-19,March,Q1
EMP0033,Operations,Process Analyst,Senior,India,OpenAI API,64.6,Research,Medium,3.8,53.4,42.8,19.85,5567.29,2200.77,24.42,21.24,Low,9.0,6.8,High,2024-11-01,November,Q4
EMP0034,Sales,Sales Manager,Mid,India,Copilot,92.4,Content Creation,Low,5.1,52.8,36.7,30.49,14490.49,2684.9,33.07,33.09,Medium,7.1,9.4,Medium,2024-11-01,November,Q4
EMP0035,HR,L&D Specialist,Mid,UK,Gemini,47.1,Research,Low,6.4,76.7,64.6,15.78,1121.7,1781.48,16.23,12.04,Low,5.2,15.8,High,2024-10-10,October,Q4
EMP0036,Finance,Financial Analyst,Junior,India,Claude,21.0,Content Creation,High,4.9,59.7,48.7,18.43,4671.47,1769.64,14.33,28.14,Low,7.2,19.1,Medium,2024-02-28,February,Q1
EMP0037,Sales,Business Dev Manager,Junior,Europe,Copilot,61.3,Research,Medium,6.8,54.5,40.3,26.06,9924.06,1533.94,22.72,25.38,Medium,6.4,21.2,Medium,2024-06-23,June,Q2
EMP0038,Marketing,Marketing Manager,Junior,India,Claude,82.7,Research,Medium,10.3,51.3,28.0,45.42,11573.84,2747.51,36.19,30.0,High,7.7,13.9,High,2024-03-21,March,Q1
EMP0039,Sales,Sales Analyst,Senior,India,ChatGPT,44.5,Research,Low,6.7,66.5,50.0,24.81,10371.72,1425.56,10.19,7.87,Low,5.7,9.4,High,2024-05-14,May,Q2
EMP0040,Marketing,Digital Marketer,Junior,Europe,Gemini,65.1,Customer Support,High,7.5,50.7,35.1,30.77,5183.31,3214.85,27.63,26.18,Medium,7.3,19.1,High,2024-02-24,February,Q1
EMP0041,Sales,SDR,Mid,APAC,Gemini,56.2,Research,Medium,8.5,78.1,56.4,27.78,9580.15,1661.68,22.27,28.02,Medium,7.4,15.3,High,2024-11-07,November,Q4
EMP0042,Finance,FP&A Manager,Mid,Europe,ChatGPT,84.9,Research,Medium,6.7,47.3,33.1,30.02,6730.17,3451.36,32.34,16.0,Medium,8.0,15.3,High,2024-03-23,March,Q1
EMP0043,Sales,Business Dev Manager,Mid,India,Gemini,97.1,Customer Support,High,10.7,43.0,26.2,39.07,11533.5,2680.82,40.57,45.63,High,7.6,19.5,High,2024-11-02,November,Q4
EMP0044,Sales,SDR,Mid,India,Copilot,84.3,Customer Support,Low,7.3,50.2,40.1,20.12,8797.96,3117.96,30.04,9.22,Medium,6.9,14.5,Medium,2024-02-27,February,Q1
EMP0045,Finance,Accountant,Junior,US,OpenAI API,80.5,Data Analysis,Medium,5.3,52.8,35.3,33.14,9466.54,3551.82,30.18,24.81,Medium,7.5,17.3,High,2024-01-30,January,Q1
EMP0046,Finance,FP&A Manager,Senior,India,Claude,97.3,Data Analysis,Low,5.5,81.7,61.2,25.09,6570.81,4049.99,34.78,20.34,High,5.8,3.0,Medium,2024-02-13,February,Q1
EMP0047,Sales,Sales Analyst,Mid,India,ChatGPT,73.7,Research,Medium,5.1,51.5,39.6,23.11,4455.4,2042.15,22.86,15.75,Low,7.4,11.5,Low,2024-03-05,March,Q1
EMP0048,IT,Data Scientist,Senior,Europe,ChatGPT,106.1,Research,Low,5.3,40.0,24.4,39.0,5079.79,3454.51,29.88,35.29,Medium,7.6,4.7,High,2024-03-25,March,Q1
EMP0049,Sales,SDR,Mid,US,Gemini,82.5,Research,High,8.0,85.9,54.0,37.14,11016.96,2391.17,28.47,23.27,Medium,8.0,10.3,High,2024-08-04,August,Q3
EMP0050,HR,Recruiter,Senior,India,Gemini,17.4,Data Analysis,High,6.7,59.4,46.8,21.21,1649.7,1360.21,11.85,29.71,Medium,8.5,14.3,High,2024-12-19,December,Q4
